id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,Ayeh,,"Shaw, Logan Circle",38.90982,-77.02016,Entire home/apt,433,2,177,2020-02-02,1.31,5,138
3663,Classic Rowhouse: Porch+ART+Parking,4617,Shawn & Richard,,"Brightwood Park, Crestwood, Petworth",38.95888,-77.02554,Entire home/apt,154,3,41,2018-05-21,0.36,1,26
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,Sheila,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91842,-77.0275,Private room,75,2,79,2018-07-25,1.31,1,0
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86314,-76.98836,Private room,55,2,71,2019-08-05,0.63,2,181
3771,Mt. Pleasant,4795,Charlene,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9276,-77.03926,Private room,88,1,1,2009-01-21,0.01,1,0
4002,2 Bedroom Private Condo Suite (Basement Apt),5143,Anthony,,"North Michigan Park, Michigan Park, University Heights",38.94008,-76.98936,Entire home/apt,120,2,149,2018-11-13,1.10,1,156
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88791,-76.99668,Private room,83,7,44,2020-01-25,0.34,2,225
4501,DC Rowhouse,1585,Kip,,"Shaw, Logan Circle",38.91331,-77.02436,Private room,475,2,120,2015-07-16,0.89,1,0
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.90645,-76.94305,Private room,52,30,102,2019-07-05,0.79,2,179
4967,"DC, Near Metro",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91263,-76.99221,Private room,99,2,31,2016-09-22,0.27,3,365
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91933,-77.04124,Entire home/apt,118,3,94,2020-01-25,0.74,2,71
7103,"Best of Washington - Great neighborhood, parking",17633,Charlotte (& Anna-Regina),,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91988,-77.09796,Entire home/apt,99,3,190,2020-02-17,1.59,54,0
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91966,-77.04306,Private room,42,1,112,2019-10-30,0.89,2,8
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91146,-77.03636,Entire home/apt,195,2,152,2020-01-05,1.26,2,64
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92828,-77.07638,Entire home/apt,125,1,386,2020-02-16,3.13,4,348
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92744,-77.07496,Private room,69,1,92,2020-01-08,0.76,4,316
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,Entire home/apt,125,2,24,2019-11-16,0.20,1,302
13824,Natural Setting in DC,54317,Chris & Erin,,"Brightwood Park, Crestwood, Petworth",38.95845,-77.03764,Entire home/apt,100,2,167,2020-02-08,1.34,1,267
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.927,-77.07645,Private room,69,1,109,2019-12-09,1.02,4,364
14570,Downtown Spacious Bedroom & Private Bath,56646,Serge,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90427,-77.02656,Private room,85,3,554,2019-08-21,4.53,1,0
16684,Capitol Hill Guest Suite,64814,Matt+Jean,,"Union Station, Stanton Park, Kingman Park",38.89866,-77.00179,Entire home/apt,93,30,170,2019-12-19,1.38,3,126
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92708,-77.0768,Private room,69,1,81,2019-06-28,0.67,4,314
20067,Embassy Row /Glover Park,75938,Marie,,"Cathedral Heights, McLean Gardens, Glover Park",38.92466,-77.06834,Private room,75,3,113,2020-02-01,0.94,1,49
22453,Elegant Logan Circle Loft Share,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90933,-77.03484,Shared room,90,2,95,2020-01-18,0.79,2,80
24720,"Adam's Eden,Fabulous Location, Free 2 Cars Parkg",100761,Adam,,"Brightwood Park, Crestwood, Petworth",38.95471,-77.02137,Entire home/apt,215,2,4,2020-02-10,0.05,1,90
25243,The Smithsonian Vacation House,104340,Wavely,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88107,-77.01891,Entire home/apt,379,1,24,2020-02-16,0.38,2,313
25366,Convention Center Rowhouse on P ST NW (3BR/2.5BA),2798,Ayeh,,"Shaw, Logan Circle",38.90689,-77.02509,Entire home/apt,433,2,139,2020-01-20,1.21,5,233
26147,Beautiful Cozy Full  Bed Room,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95313,-77.03583,Private room,40,28,9,2018-08-20,0.08,1,365
27281,Capitol Hill H Street 1BR Apt :),117099,Stephen,,"Union Station, Stanton Park, Kingman Park",38.90254,-76.99257,Entire home/apt,645,3,15,2016-07-14,0.13,1,364
32087,American Guest House - Room 301,138459,L,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,179,1,14,2019-09-19,0.14,12,327
