id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zipcode,geometry
25770518,Bright English Basement 1 Mile from Union Station,46977275,Teresa,,"Union Station, Stanton Park, Kingman Park",38.90418,-76.99614,Entire home/apt,250,1,51,2019-11-24,3.04,1,176,20002,POINT (-76.99614 38.90418)
25780267,The Zen Room - near metro,1998736,Hillary,,"Capitol View, Marshall Heights, Benning Heights",38.8829,-76.94174,Private room,40,1,59,2019-12-21,2.85,4,143,20019,POINT (-76.94174 38.8829)
25781030,4 bed House with Parking + Large Backyard/Patio,16308738,Maria,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86809,-76.96138,Entire home/apt,195,2,34,2020-01-13,1.67,1,11,20020,POINT (-76.96138000000001 38.86809)
25781464,"Master Bedroom Suite, Stanton Park Row Home",54126082,Jason,,"Capitol Hill, Lincoln Park",38.89198,-76.99864000000001,Private room,75,1,9,2020-01-25,0.62,10,135,20003,POINT (-76.99864000000001 38.89198)
25784565,Oak street suite,176304871,Jason,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.934059999999995,-77.03147,Private room,66,14,17,2019-12-21,0.83,4,314,20010,POINT (-77.03147 38.93406)
25798423,"Downtown DC-Luxury 3BR 2.5 Bath,w/Parking-sleep9",9263895,Payam,,"Shaw, Logan Circle",38.909079999999996,-77.01994,Entire home/apt,325,2,69,2020-02-09,4.0,5,52,20001,POINT (-77.01994000000001 38.90908)
25804997,Five Star Private English Basement Apartment,18515584,Travis,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9168,-77.0079,Entire home/apt,77,1,60,2020-02-16,2.92,1,221,20001,POINT (-77.00790000000001 38.9168)
25806203,Private Bed/bath in new Shaw/Mt Vernon building,76814727,Sophie,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90399,-77.02508,Private room,60,1,0,,,1,0,20005,POINT (-77.02508 38.90399)
25810058,"Quiet, Private and Convenient Respite",13886934,Ali,,"Shaw, Logan Circle",38.90725,-77.02937,Private room,109,2,39,2019-12-07,1.98,2,22,20005,POINT (-77.02937 38.90725)
25814369,Capitol Hill garden oasis w/ private parking,11158634,Thomas,,"Capitol Hill, Lincoln Park",38.88429,-76.99089000000001,Entire home/apt,159,1,243,2020-02-21,11.99,2,219,20003,POINT (-76.99089000000001 38.88429)
